日付,気温,降水量,風速,現地気圧,相対湿度,蒸気圧,天気,雲量
2020-01-01,6.966666666666667,0.0,2.088888888888889,1018.6222222222223,40.0,3.9777777777777774,0.3333333333333333,2.6666666666666665
2020-01-02,7.655555555555556,0.0,1.7000000000000002,1018.5555555555555,53.77777777777778,5.544444444444444,1.0,3.3333333333333335
2020-01-03,7.877777777777778,0.0,1.2777777777777777,1013.5222222222224,56.22222222222222,5.888888888888889,0.0,0.0
2020-01-04,8.944444444444445,0.0,2.7555555555555555,1011.4222222222221,45.44444444444444,5.088888888888889,1.0,6.666666666666667
2020-01-05,7.188888888888889,0.0,3.855555555555556,1017.9111111111112,51.666666666666664,4.988888888888889,0.0,0.0
2020-01-06,8.755555555555555,0.0,3.6222222222222222,1022.4555555555556,40.888888888888886,4.522222222222222,1.0,5.0
2020-01-07,6.611111111111111,0.0,2.022222222222222,1023.0333333333333,59.55555555555556,5.833333333333333,3.3333333333333335,9.666666666666666
2020-01-08,5.166666666666667,1.2222222222222223,2.5444444444444443,1000.1222222222223,96.55555555555556,8.544444444444444,3.3333333333333335,10.0
2020-01-09,12.255555555555555,0.0,5.144444444444444,1006.4555555555556,40.44444444444444,5.655555555555555,0.0,0.0
2020-01-10,9.711111111111112,0.0,2.7,1012.7444444444445,51.0,6.044444444444444,0.6666666666666666,2.6666666666666665
2020-01-11,7.533333333333333,0.0,1.6777777777777778,1012.6999999999999,62.333333333333336,6.466666666666667,2.0,6.666666666666667
2020-01-12,7.477777777777778,0.0,1.5,1008.6111111111111,63.77777777777778,6.533333333333333,3.3333333333333335,10.0
2020-01-13,9.966666666666667,0.0,1.8666666666666667,1007.4222222222221,60.333333333333336,7.2666666666666675,0.0,0.0
2020-01-14,9.411111111111111,0.0,1.5333333333333334,1016.9111111111112,65.0,7.577777777777778,1.3333333333333333,5.333333333333333
2020-01-15,6.666666666666667,0.7222222222222222,2.533333333333333,1011.4444444444445,95.77777777777777,9.366666666666667,3.0,8.333333333333334
2020-01-16,7.888888888888889,0.0,2.111111111111111,1018.5777777777779,41.666666666666664,4.4,2.3333333333333335,9.333333333333334
2020-01-17,7.688888888888889,0.0,2.4555555555555557,1016.5222222222224,54.55555555555556,5.766666666666667,2.6666666666666665,10.0
2020-01-18,2.677777777777778,0.6666666666666666,3.355555555555556,1010.3000000000001,90.44444444444444,6.699999999999999,4.333333333333333,10.0
2020-01-19,7.311111111111111,0.0,1.822222222222222,1012.3333333333334,55.111111111111114,5.488888888888889,0.3333333333333333,1.0
2020-01-20,9.655555555555555,0.0,1.7333333333333334,1009.4555555555556,52.77777777777778,6.022222222222222,0.0,0.3333333333333333
2020-01-21,9.544444444444444,0.0,4.933333333333334,1016.4777777777776,38.666666666666664,4.544444444444444,0.0,0.0
2020-01-22,4.955555555555556,0.0,2.088888888888889,1026.4888888888888,51.333333333333336,4.433333333333334,3.0,10.0
2020-01-23,5.444444444444445,0.2777777777777778,1.9555555555555557,1018.9555555555556,88.88888888888889,7.98888888888889,3.6666666666666665,10.0
2020-01-24,11.066666666666666,0.0,1.0666666666666667,1018.8000000000001,74.33333333333333,9.755555555555555,3.0,10.0
2020-01-25,8.077777777777778,0.0,2.088888888888889,1025.111111111111,39.55555555555556,4.266666666666667,3.0,10.0
2020-01-26,4.699999999999999,0.2777777777777778,1.088888888888889,1023.5,85.44444444444444,7.2444444444444445,3.3333333333333335,10.0
2020-01-27,5.644444444444444,0.0,2.0444444444444443,1023.8555555555556,65.88888888888889,5.988888888888889,3.0,10.0
2020-01-28,4.144444444444444,1.5,4.155555555555555,1015.7888888888889,97.55555555555556,8.033333333333333,4.0,10.0
2020-01-29,14.2,0.0,1.9777777777777779,998.5777777777779,76.22222222222223,12.055555555555555,1.3333333333333333,4.333333333333333
2020-01-30,13.466666666666667,0.0,1.8666666666666667,994.9888888888888,58.666666666666664,8.733333333333333,0.0,0.6666666666666666
